Id,Name,Latitude,Longitude,Country,CountryCode,Status,ReactorType,ReactorModel,ConstructionStartAt,OperationalFrom,OperationalTo,Capacity,LastUpdatedAt,Source,IAEAId
57,Big Rock Point,45.359000,-85.195000,United States,US,Shutdown,BWR,,05-01-60,03-29-63,08-29-97,72,5/24/15 7:51,WNA/IAEA,601
58,Bilibino-1,68.059000,166.492000,Russia,RU,Shutdown,LWGR,EGP-6,01-01-70,04-01-74,01-14-19,11,6/2/19 23:18,WNA/IAEA,467
59,Bilibino-2,68.059000,166.492000,Russia,RU,Operational,LWGR,EGP-6,01-01-70,02-01-75,,11,5/24/15 7:51,WNA/IAEA,468
60,Bilibino-3,68.059000,166.492000,Russia,RU,Operational,LWGR,EGP-6,01-01-70,02-01-76,,11,5/24/15 7:51,WNA/IAEA,469
61,Bilibino-4,68.059000,166.492000,Russia,RU,Operational,LWGR,EGP-6,01-01-70,01-01-77,,11,5/24/15 7:51,WNA/IAEA,470
62,Blayais-1,45.256000,-0.691000,France,FR,Operational,PWR,CP1,01-01-77,12-01-81,,910,5/24/15 7:50,WNA/IAEA,187
63,Blayais-2,45.256000,-0.691000,France,FR,Operational,PWR,CP1,01-01-77,02-01-83,,910,5/24/15 7:50,WNA/IAEA,188
64,Blayais-3,45.256000,-0.691000,France,FR,Operational,PWR,CP1,04-01-78,11-14-83,,910,5/24/15 7:50,WNA/IAEA,189
65,Blayais-4,45.256000,-0.691000,France,FR,Operational,PWR,CP1,04-01-78,10-01-83,,910,5/24/15 7:50,WNA/IAEA,190
66,Bohunice-1,48.494000,17.687000,Slovakia,SK,Shutdown,PWR,VVER V-230,04-24-72,04-01-80,12-31-06,408,5/24/15 7:51,WNA/IAEA,548
67,Bohunice-2,48.494000,17.687000,Slovakia,SK,Shutdown,PWR,VVER V-230,04-24-72,01-01-81,12-31-08,408,5/24/15 7:51,WNA/IAEA,549
68,Bohunice-3,48.494000,17.687000,Slovakia,SK,Operational,PWR,VVER V-213,12-01-76,02-14-85,,466,2/14/21 5:47,WNA/IAEA,546
69,Bohunice-4,48.494000,17.687000,Slovakia,SK,Operational,PWR,VVER V-213,12-01-76,12-18-85,,466,2/14/21 5:47,WNA/IAEA,547
70,Bohunice-A1,48.494000,17.687000,Slovakia,SK,Shutdown,HWGCR,KS 150,08-01-58,12-25-72,02-22-77,110,5/24/15 7:51,WNA/IAEA,543
71,BONUS,18.365000,-67.268000,United States,US,Shutdown,BWR,Superheater,01-01-60,09-01-65,06-01-68,17,06-06-21,WNA/IAEA,703
72,Borssele,51.431000,3.719000,Netherlands,NL,Operational,PWR,KWU 2LP,07-01-69,10-26-73,,495,2/11/17 1:57,WNA/IAEA,423
73,BR-3,51.217000,5.099000,Belgium,BE,Shutdown,PWR,Prototype,11-01-57,10-10-62,06-30-87,11,5/24/15 7:50,WNA/IAEA,8
74,Bradwell-1,51.742000,0.899000,United Kingdom,GB,Shutdown,GCR,MAGNOX,01-01-57,07-01-62,03-31-02,150,5/24/15 7:51,WNA/IAEA,266
75,Bradwell-2,51.742000,0.899000,United Kingdom,GB,Shutdown,GCR,MAGNOX,01-01-57,11-12-62,03-30-02,150,5/24/15 7:51,WNA/IAEA,267
76,Braidwood-1,41.247000,-88.230000,United States,US,Operational,PWR,WH 4LP (DRYAMB),08-01-75,07-29-88,,1120,2/11/17 1:59,WNA/IAEA,737
77,Braidwood-2,41.247000,-88.230000,United States,US,Operational,PWR,WH 4LP (DRYAMB),08-01-75,10-17-88,,1120,2/11/17 1:59,WNA/IAEA,738
79,Brokdorf,53.850000,9.345000,Germany,DE,Shutdown,PWR,PWR,01-01-76,12-22-86,12-31-21,1307,4/21/22 23:26,WNA/IAEA,107
80,Browns Ferry-1,34.704000,-87.119000,United States,US,Operational,BWR,BWR-4 (Mark 1),05-01-67,12-20-74,,1065,4/21/22 23:26,WNA/IAEA,617
81,Browns Ferry-2,34.704000,-87.119000,United States,US,Operational,BWR,BWR-4 (Mark 1),05-01-67,03-01-75,,1065,5/24/15 7:51,WNA/IAEA,618
82,Browns Ferry-3,34.704000,-87.119000,United States,US,Operational,BWR,BWR-4 (Mark 1),07-01-68,03-01-77,,1065,5/24/15 7:51,WNA/IAEA,641
83,Bruce-1,44.341000,-81.572000,Canada,CA,Operational,PHWR,CANDU 791,06-01-71,09-01-77,,732,4/21/22 23:26,WNA/IAEA,53
84,Bruce-2,44.341000,-81.572000,Canada,CA,Operational,PHWR,CANDU 791,12-01-70,09-01-77,,732,4/21/22 23:26,WNA/IAEA,54
85,Bruce-3,44.341000,-81.572000,Canada,CA,Operational,PHWR,CANDU 750A,07-01-72,02-01-78,,750,4/21/22 23:26,WNA/IAEA,30
86,Bruce-4,44.341000,-81.572000,Canada,CA,Operational,PHWR,CANDU 750A,09-01-72,01-18-79,,750,4/21/22 23:26,WNA/IAEA,31
87,Bruce-5,44.341000,-81.572000,Canada,CA,Operational,PHWR,CANDU 750B,05-31-78,02-28-85,,822,4/21/22 23:26,WNA/IAEA,38
88,Bruce-6,44.341000,-81.572000,Canada,CA,Operational,PHWR,CANDU 750B,01-01-78,09-14-84,,822,5/24/15 7:50,WNA/IAEA,39
89,Bruce-7,44.341000,-81.572000,Canada,CA,Operational,PHWR,CANDU 750B,05-01-79,04-10-86,,822,5/24/15 7:50,WNA/IAEA,41
90,Bruce-8,44.341000,-81.572000,Canada,CA,Operational,PHWR,CANDU 750B,07-30-79,05-20-87,,795,4/21/22 23:26,WNA/IAEA,42
91,Brunsbuettel,53.891000,9.202000,Germany,DE,Shutdown,BWR,BWR-69,04-15-70,02-09-77,08-06-11,770,5/24/15 7:50,WNA/IAEA,86
92,Brunswick-1,33.958000,-78.007000,United States,US,Operational,BWR,BWR-4 (Mark 1),02-07-70,03-18-77,,821,5/24/15 7:51,WNA/IAEA,662
93,Brunswick-2,33.958000,-78.007000,United States,US,Operational,BWR,BWR-4 (Mark 1),02-07-70,11-03-75,,821,5/24/15 7:51,WNA/IAEA,661
94,Bugey-1,45.796000,5.268000,France,FR,Shutdown,GCR,UNGG,12-01-65,07-01-72,05-27-94,540,5/24/15 7:51,WNA/IAEA,230
95,Bugey-2,45.796000,5.268000,France,FR,Operational,PWR,CP0,11-01-72,03-01-79,,920,5/24/15 7:50,WNA/IAEA,165
96,Bugey-3,45.798000,5.268000,France,FR,Operational,PWR,CP0,09-01-73,03-01-79,,920,5/24/15 7:50,WNA/IAEA,166
97,Bugey-4,45.800000,5.267000,France,FR,Operational,PWR,CP0,06-01-74,07-01-79,,900,5/24/15 7:50,WNA/IAEA,167
